,Schedule,Away Team,Attendance,Status
0,2019-07-13,Dodgers,36607,closed
1,2019-04-28,Rays,33823,closed
2,2019-08-11,Angels,36709,closed
3,2019-05-18,Astros,36887,closed
4,2019-09-04,Twins,35218,closed
5,2019-06-23,Blue Jays,36495,closed
6,2019-07-18,Blue Jays,35357,closed
7,2019-08-16,Orioles,37213,closed
8,2019-05-10,Mariners,33731,closed
9,2019-08-21,Phillies,37077,closed
10,2019-08-17,Orioles,36744,closed
11,2019-04-15,Orioles,35860,closed
12,2019-07-17,Blue Jays,34853,closed
13,2019-08-06,Royals,36360,closed
14,2019-05-01,Athletics,33708,closed
15,2019-07-15,Blue Jays,35616,closed
16,2019-09-06,Yankees,36162,closed
17,2019-04-24,Tigers,31763,closed
18,2019-06-07,Rays,36803,closed
19,2019-09-27,Orioles,34533,closed
20,2019-05-15,Rockies,37032,closed
21,2019-06-13,Rangers,35841,closed
22,2019-05-11,Mariners,36024,closed
23,2019-06-12,Rangers,34330,closed
24,2019-04-13,Orioles,35823,closed
25,2019-09-29,Orioles,35427,closed
26,2019-04-12,Orioles,33664,closed
27,2019-05-28,Indians,32984,closed
28,2019-06-08,Rays,37048,closed
29,2019-06-08,Rays,35564,closed
30,2019-06-10,Rangers,34422,closed
31,2019-09-09,Yankees,35884,closed
32,2019-05-17,Astros,35558,closed
33,2019-05-29,Indians,34824,closed
34,2019-05-19,Astros,35796,closed
35,2019-06-26,White Sox,36823,closed
36,2019-08-22,Royals,41578,closed
37,2019-09-03,Twins,35129,closed
38,2019-07-26,Yankees,37095,closed
39,2019-09-17,Giants,35925,closed
40,2019-04-25,Tigers,34165,closed
41,2019-04-30,Athletics,31754,closed
42,2019-04-29,Athletics,30866,closed
43,2019-07-31,Rays,33046,closed
44,2019-06-09,Rays,34643,closed
45,2019-06-22,Blue Jays,36712,closed
46,2019-06-21,Blue Jays,36911,closed
47,2019-04-09,Blue Jays,36179,closed
48,2019-07-27,Yankees,36862,closed
49,2019-09-28,Orioles,36414,closed
50,2019-09-07,Yankees,36619,closed
51,2019-04-23,Tigers,30015,closed
52,2019-04-23,Tigers,30578,closed
53,2019-07-12,Dodgers,36579,closed
54,2019-07-30,Rays,36412,closed
55,2019-07-16,Blue Jays,36341,closed
56,2019-04-11,Blue Jays,36510,closed
57,2019-05-27,Indians,37113,closed
58,2019-08-08,Angels,34744,closed
59,2019-06-08,Rays,37048,closed
60,2019-06-08,Rays,35564,closed
61,2019-08-18,Orioles,36350,closed
62,2019-05-12,Mariners,33069,closed
63,2019-09-19,Giants,35816,closed
64,2019-05-14,Rockies,35804,closed
65,2019-08-09,Angels,36650,closed
66,2019-08-20,Phillies,37712,closed
67,2019-09-09,Yankees,35884,closed
68,2019-07-14,Dodgers,36700,closed
69,2019-09-05,Twins,32632,closed
70,2019-06-24,White Sox,36117,closed
71,2019-04-14,Orioles,36023,closed
72,2019-07-25,Yankees,37591,closed
73,2019-06-11,Rangers,35121,closed
74,2019-04-27,Rays,34773,closed
75,2019-08-05,Royals,33636,closed
76,2019-09-18,Giants,35697,closed
77,2019-06-30,Yankees,59059,closed
78,2019-04-23,Tigers,30015,closed
79,2019-04-23,Tigers,30578,closed
80,2019-07-28,Yankees,37429,closed
81,2019-08-10,Angels,36390,closed
82,2019-06-25,White Sox,34740,closed
83,2019-06-29,Yankees,59659,closed
84,2019-08-01,Rays,37225,closed
